36,7,1
20,1,0
24,7,0
28,4,0
68,7,0
21,3,0
77,7,0
21,1,0
31,7,0
39,0,0
26,0,0
31,5,0
22,2,1
42,7,0
74,7,0
62,7,0
58,7,0
24,5,0
51,7,1
36,2,0
88,7,0
20,0,0
27,3,0
44,7,1
45,0,0
21,2,0
40,5,0
40,7,0
48,3,0
34,3,0
26,0,0
60,3,0
32,0,0
31,1,0
33,7,1
57,7,0
84,7,0
75,6,1
19,2,1
47,1,0
51,6,0
40,3,0
22,0,0
35,1,0
43,7,0
76,3,0
45,7,1
88,7,0
46,6,0
22,1,0
68,7,1
38,2,1
69,7,0
67,2,0
88,7,0
68,3,1
76,1,1
72,7,0
37,0,1
69,3,0
33,0,0
34,7,0
30,2,0
19,2,0
44,3,0
64,1,0
37,5,0
31,7,1
88,0,1
77,7,1
30,1,0
32,1,0
59,7,1
47,0,0
22,2,0
55,5,0
24,2,0
65,5,0
24,7,0
30,7,0
73,7,0
73,5,0
91,6,0
71,7,0
34,2,1
48,7,0
42,1,1
72,4,0
20,2,1
22,7,0
24,1,0
39,1,0
83,7,1
39,0,1
33,3,0
53,7,1
82,7,1
82,5,1
47,3,1
68,3,0
84,7,0
35,2,1
67,7,0
33,3,1
49,3,0
91,0,0
43,7,0
65,7,0
69,7,0
56,0,0
24,0,0
77,7,0
74,7,0
25,0,1
85,7,1
21,5,0
24,7,0
73,7,0
37,0,0
35,4,0
47,7,0
21,2,1
55,7,0
30,4,1
76,4,1
36,5,0
38,0,0
67,7,0
70,7,1
78,7,0
27,1,0
51,4,0
33,0,0
80,2,1
79,5,0
66,2,1
32,0,0
70,7,0
42,3,0
73,5,1
87,4,0
30,0,0
52,2,0
62,6,0
67,7,0
37,4,0
37,4,0
64,5,0
34,7,0
70,7,0
31,2,1
29,7,0
71,7,0
67,2,0
41,5,0
49,6,0
42,7,0
78,0,0
24,0,0
29,7,0
39,3,1
19,3,0
32,2,0
69,3,1
83,4,1
76,7,1
62,7,0
47,2,0
35,5,0
23,0,0
79,7,0
64,7,1
70,7,1
87,7,1
28,0,0
58,5,0
85,5,0
62,7,0
26,0,0
28,0,1
88,3,1
57,7,0
78,7,0
56,7,0
46,0,0
20,2,1
24,0,0
72,7,0
51,7,0
34,0,1
21,2,0
74,7,0
48,3,0
28,2,0
38,6,1
70,7,0
72,7,0
41,0,0
50,5,0
73,7,1
79,5,0
76,4,1
62,0,1
30,3,1
35,0,1
66,7,0
35,0,0
57,0,1
37,5,1
61,7,0
56,7,1
53,6,0
24,0,1
74,7,1
36,0,0
30,0,1
55,0,0
35,3,0
26,2,0
25,0,0
27,2,0
66,7,1
39,1,0
58,7,0
53,2,1
76,7,0
51,7,0
70,7,0
68,3,1
32,0,1
55,0,0
52,7,0
73,7,1
42,0,0
23,2,1
30,5,0
68,7,0
68,7,0
68,0,0
38,5,0
74,1,0
59,7,0
73,2,0
79,7,0
28,3,1
50,7,1
36,4,0
50,3,1
61,1,1
37,3,0
29,0,0
39,7,0
83,7,1
68,7,1
25,2,1
41,2,0
67,7,0
36,3,1
66,4,1
55,1,0
42,4,0
42,7,1
36,3,0
53,1,1
36,0,0
29,3,0
31,1,0
43,2,0
33,3,0
63,1,0
25,1,0
72,2,0
40,5,0
27,7,0
26,3,0
67,7,1
21,0,0
27,5,1
78,4,1
32,3,0
68,5,0
76,7,0
33,7,0
38,4,1
49,3,0
61,0,1
57,7,1
20,0,0
63,7,1
53,0,1
35,5,1
39,3,0
48,3,1
62,4,1
30,2,0
26,7,1
74,7,1
37,4,0
43,2,0
68,5,1
73,7,1
60,5,1
35,7,0
29,4,0
25,5,0
25,7,0
70,4,0
41,1,1
37,0,0
39,0,1
35,6,0
62,4,0
30,0,0
74,7,0
47,7,0
43,4,0
64,6,1
75,7,1
27,3,0
21,7,0
70,4,0
67,6,1
82,7,0
40,0,0
26,0,1
29,3,0
28,1,0
65,7,0
25,2,0
65,7,0
38,4,1
72,2,1
67,7,0
74,7,0
71,5,0
47,0,0
69,7,0
29,3,0
34,0,1
43,3,0
30,7,0
76,7,0
26,0,0
76,7,0
42,0,0
33,4,1
25,1,1
51,0,0
57,4,1
21,1,1
79,7,1
35,1,1
57,5,1
32,1,0
51,5,0
62,0,1
48,4,1
39,7,1
26,5,1
38,0,1
50,5,0
33,2,1
36,5,0
24,5,0
25,4,0
62,7,0
33,2,1
53,7,1
68,7,1
68,7,0
38,1,1
58,1,0
34,7,1
58,2,0
35,0,0
42,3,1
54,7,0
69,7,1
35,2,0
66,7,1
58,2,0
41,5,0
35,2,0
40,0,0
53,7,0
67,5,1
32,5,0
41,4,0
43,1,0
65,1,0
60,7,0
77,7,0
35,0,0
48,4,0
52,0,1
43,7,0
43,7,1
67,7,1
56,1,0
62,2,0
62,1,0
22,3,0
21,0,0
34,3,1
70,7,0
50,1,0
42,5,1
73,5,1
57,2,0
40,7,1
58,2,1
62,7,0
44,1,0
30,3,0
76,7,0
50,3,0
41,1,1
77,6,1
35,3,1
39,7,0
72,0,1
42,2,1
85,7,1
79,0,0
39,5,0
58,4,1
27,0,1
43,4,0
58,0,0
28,7,1
27,2,0
40,0,0
43,5,0
64,7,1
39,7,0
76,7,1
64,5,0
28,4,0
45,2,0
22,1,1
27,1,0
31,0,0
34,1,0
30,4,0
64,2,1
36,0,1
31,7,1
37,1,1
48,0,0
41,0,0
25,2,1
82,5,1
36,1,1
47,7,1
67,6,0
24,0,1
33,0,1
59,7,1
71,7,1
36,7,1
41,3,0
38,5,1
32,1,1
32,0,0
75,6,0
52,7,1
29,5,0
71,7,0
33,0,0
67,3,0
49,2,1
31,0,0
53,7,0
35,3,0
49,7,1
74,7,0
29,0,1
27,5,0
70,5,0
43,0,1
47,5,0
42,4,0
41,0,1
37,2,1
61,5,0
84,7,0
46,7,0
39,0,0
53,7,0
87,7,1
51,2,0
37,0,1
37,1,1
40,0,1
46,3,0
44,7,1
37,2,0
55,7,0
40,0,1
42,5,0
40,7,1
32,0,1
58,5,1
37,2,1
51,4,1
44,5,0
23,2,0
38,2,1
42,0,0
60,7,1
34,3,0
49,1,1
40,0,1
23,7,0
47,2,0
44,7,0
37,5,1
26,2,1
51,7,0
69,4,0
36,2,0
28,2,0
40,4,1
45,1,1
75,3,1
32,2,1
27,0,0
63,6,1
79,1,1
40,7,0
57,2,0
44,3,0
78,7,1
58,7,0
55,7,0
25,4,0
27,0,0
21,3,0
37,3,1
31,0,1
85,7,0
33,1,0
63,7,1
51,7,0
